ID,Order,Rep,Loc,Cover,Ground,Lure,Motion,Dist
Summit,31,1,74,F,W,B,M,8
Summit,32,2,74,F,W,W,M,7
Summit,33,1,75,F,W,W,M,6
Summit,34,2,75,F,W,B,M,7
Summit,35,1,76,O,W,W,M,31
Summit,36,2,76,O,W,B,M,33
Summit,37,1,77,F,W,B,M,13
Summit,38,2,77,F,W,W,M,12
Summit,39,1,78,O,W,W,M,24
Summit,40,2,78,O,W,B,M,23
Summit,41,1,79,O,B,B,M,22
Summit,42,2,79,O,B,W,M,24
Summit,43,1,80,F,B,B,M,7
Summit,44,2,80,F,B,W,M,9
Summit,45,1,81,F,B,B,M,11
Summit,46,2,81,F,B,W,M,12
Summit,47,1,82,O,B,B,M,28
Summit,48,2,82,O,B,W,M,30
Summit,49,1,83,O,B,W,M,26
Summit,50,2,83,O,B,B,M,25
Jaybird,1,1,84,O,W,B,S,2.5
Jaybird,2,2,84,O,W,B,S,44
Jaybird,3,3,84,O,W,W,S,3.5
Jaybird,4,1,85,F,W,W,S,6
Jaybird,5,2,85,F,W,B,S,8
Jaybird,6,1,86,F,W,B,S,8
Jaybird,7,2,86,F,W,W,S,6
Jaybird,8,1,87,F,W,W,S,5
Jaybird,9,2,87,F,W,B,S,5
Jaybird,10,1,88,F,B,W,S,4
Jaybird,11,2,88,F,B,B,S,6
Jaybird,12,1,89,O,B,W,S,12
Jaybird,13,2,89,O,B,B,S,7
Jaybird,14,1,90,O,W,W,S,6
Jaybird,15,2,90,O,W,B,S,5
Jaybird,16,1,91,F,W,B,S,5
Jaybird,17,2,91,F,W,W,S,5
Jaybird,18,1,92,O,B,W,S,10
Jaybird,19,2,92,O,B,B,S,13
Jaybird,20,1,93,F,B,W,S,6
Jaybird,21,2,93,F,B,B,S,8
Jaybird,22,1,94,F,W,B,S,4
Jaybird,23,2,94,F,W,W,S,4
Jaybird,24,1,95,O,W,W,S,7
Jaybird,25,2,95,O,W,B,S,7
Jaybird,26,1,96,F,B,W,S,8
Jaybird,27,2,96,F,B,B,S,6
